Entry	Gene names
Q9H0H5	RACGAP1 KIAA1478 MGCRACGAP
O76081	RGS20 RGSZ1 ZGAP1
Q9H4X1	RGCC C13orf15 RGC32
P57771	RGS8
Q9NX52	RHBDL2
Q02161	RHD
Q15382	RHEB RHEB2
Q96QB1	DLC1 ARHGAP7 KIAA1723 STARD12
Q96CC6	RHBDF1 C16orf8 DIST1 IRHOM1
Q9HBH0	RHOF ARHF RIF
P27635	RPL10 DXS648E QM
P61587	RND3 ARHE RHO8 RHOE
P62913	RPL11
Q9UBS8	RNF14 ARA54 HRIHFB2038
Q5M7Z0	RNFT1 PTD016
P50914	RPL14
Q5VYX0	RNLS C10orf59
Q9NRW1	RAB6B
Q6ZRY4	RBPMS2
Q7Z3Z2	RD3 C1orf36
P61575	ERVK-8
O95980	RECK ST15
O14593	RFXANK ANKRA1 RFXB
P48378	RFX2
A5PLK6	RGSL1 RGSL RGSL2
Q6NTF9	RHBDD2 RHBDL7
Q7Z5H3	ARHGAP22 RHOGAP2
Q96D21	RASD2 TEM2
P18577	RHCE RHC RHE
Q9NRY4	ARHGAP35 GRF1 GRLF1 KIAA1722 P190A p190ARHOGAP
Q9NV58	RNF19A RNF19
Q495C1	RNF212
Q63HN8	RNF213 ALO17 C17orf27 KIAA1554 KIAA1618 MYSTR
Q8ND24	RNF214
Q9Y6U7	RNF215
Q9NWF9	RNF216 TRIAD3 UBCE7IP1 ZIN
Q8TC41	RNF217 C6orf172 IBRDC1
Q5W0B1	RNF219 C13orf7
Q5VTB9	RNF220 C1orf164
A6NCQ9	RNF222
E7ERA6	RNF223
P0DH78	RNF224
M0QZC1	RNF225
A6NIN4	RNF227 LINC02581
Q2M238	RRN3P1
A6NIE6	RRN3P2
Q05823	RNASEL RNS4
P07998	RNASE1 RIB1 RNS1
P10153	RNASE2 EDN RNS2
Q8TDE3	RNASE8
Q96L21	RPL10L
P40429	RPL13A
P30050	RPL12
P61313	RPL15 EC45 TCBAP0781
Q6P5S7	RNASEK
P18621	RPL17
Q9H5N1	RABEP2 RABPT5B
Q86WH2	RASSF3
P10276	RARA NR1B1
Q5JQD4	PYY3
P14927	UQCRB UQBP
